region_id,timestamp,val_SO2_mean,extra_rings_SO2_mean
SP,2017-01-07,8.0,2
SR,2017-01-07,2.0,1
SS,2017-01-07,1.5,1
ST,2017-01-07,2.0,2
SW,2017-01-07,2.5,1
SY,2017-01-07,1.6666666666666667,1
TA,2017-01-07,8.0,0
TD,2017-01-07,2.0,1
TF,2017-01-07,1.6666666666666667,2
TN,2017-01-07,1.0,1
TQ,2017-01-07,8.0,2
TR,2017-01-07,8.0,3
TS,2017-01-07,2.0,0
TW,2017-01-07,3.0,1
UB,2017-01-07,3.0,1
W,2017-01-07,3.0,0
WA,2017-01-07,1.0,1
WC,2017-01-07,2.0,0
WD,2017-01-07,7.0,1
WF,2017-01-07,2.0,1
WN,2017-01-07,1.0,1
WR,2017-01-07,1.6666666666666667,2
WS,2017-01-07,2.333333333333333,2
WV,2017-01-07,1.6666666666666667,2
YO,2017-01-07,2.333333333333333,1
ZE,2017-01-07,,2
AB,2017-01-08,0.0,2
AL,2017-01-08,9.0,2
B,2017-01-08,2.333333333333333,2
BA,2017-01-08,7.0,1
BB,2017-01-08,1.6666666666666667,2
BD,2017-01-08,2.0,1
BH,2017-01-08,7.0,2
BL,2017-01-08,1.0,1
BN,2017-01-08,1.0,0
BR,2017-01-08,1.25,2
BS,2017-01-08,7.0,1
BT,2017-01-08,1.6666666666666667,0
CA,2017-01-08,2.0,2
CB,2017-01-08,2.0,2
CF,2017-01-08,1.0,0
CH,2017-01-08,2.5,1
CM,2017-01-08,2.0,1
CO,2017-01-08,2.0,2
CR,2017-01-08,1.2,2
CT,2017-01-08,1.0,1
CV,2017-01-08,2.333333333333333,2
CW,2017-01-08,1.8571428571428568,2
DA,2017-01-08,1.5,1
DD,2017-01-08,1.0,2
DE,2017-01-08,2.333333333333333,1
DG,2017-01-08,1.0,2
DH,2017-01-08,2.0,1
DL,2017-01-08,2.0,1
DN,2017-01-08,2.25,1
DT,2017-01-08,7.0,1
DY,2017-01-08,1.6666666666666667,2
E,2017-01-08,4.0,2
EC,2017-01-08,1.0,1
EH,2017-01-08,2.0,0
EN,2017-01-08,9.0,1
EX,2017-01-08,7.0,1
FK,2017-01-08,0.0,0
FY,2017-01-08,2.0,2
G,2017-01-08,0.0,1
GL,2017-01-08,4.0,2
GU,2017-01-08,1.0,1
GY,2017-01-08,,2
HA,2017-01-08,5.0,1
HD,2017-01-08,2.5,1
HG,2017-01-08,2.0,1
HP,2017-01-08,9.0,2
HR,2017-01-08,1.5,2
HS,2017-01-08,,2
HU,2017-01-08,2.0,0
HX,2017-01-08,2.0,2
IG,2017-01-08,2.0,1
IM,2017-01-08,,2
IP,2017-01-08,2.0,2
IV,2017-01-08,0.0,2
JE,2017-01-08,,2
KA,2017-01-08,1.0,2
KT,2017-01-08,1.0,2
KW,2017-01-08,0.0,3
KY,2017-01-08,1.0,1
L,2017-01-08,2.0,0
LA,2017-01-08,2.0,2
LD,2017-01-08,1.0,1
LE,2017-01-08,2.0,1
LL,2017-01-08,3.0,0
LN,2017-01-08,2.0,1
LS,2017-01-08,2.0,0
LU,2017-01-08,4.333333333333333,3
M,2017-01-08,1.0,0
ME,2017-01-08,1.0,0
MK,2017-01-08,2.0,2
ML,2017-01-08,1.0,1
N,2017-01-08,5.0,1
NE,2017-01-08,2.0,2
NG,2017-01-08,2.0,0
NN,2017-01-08,2.0,2
NP,2017-01-08,1.0,1
NR,2017-01-08,2.0,2
NW,2017-01-08,9.0,0
OL,2017-01-08,1.0,1
OX,2017-01-08,3.571428571428572,3
PA,2017-01-08,0.0,1
PE,2017-01-08,2.0,1
PH,2017-01-08,0.0,1
PL,2017-01-08,7.0,2
PO,2017-01-08,1.0,1
PR,2017-01-08,2.0,1
RG,2017-01-08,1.0,2
RH,2017-01-08,1.0,1
RM,2017-01-08,2.0,0
S,2017-01-08,2.5,0
SA,2017-01-08,1.0,0
SE,2017-01-08,1.5,1
SG,2017-01-08,4.333333333333333,2
SK,2017-01-08,2.0,1
SL,2017-01-08,3.6666666666666665,2
SM,2017-01-08,1.0,2
SN,2017-01-08,7.0,2
SO,2017-01-08,1.0,2
SP,2017-01-08,7.0,2
SR,2017-01-08,2.0,1
SS,2017-01-08,1.5,1
ST,2017-01-08,2.0,2
SW,2017-01-08,1.0,1
SY,2017-01-08,1.6666666666666667,1
TA,2017-01-08,7.0,0
TD,2017-01-08,2.0,1
TF,2017-01-08,1.6666666666666667,2
TN,2017-01-08,1.0,1
TQ,2017-01-08,7.0,2
TR,2017-01-08,7.0,3
TS,2017-01-08,2.0,0
TW,2017-01-08,1.0,1
UB,2017-01-08,1.0,1
W,2017-01-08,1.0,0
WA,2017-01-08,1.5,1
WC,2017-01-08,1.0,0
WD,2017-01-08,9.0,1
WF,2017-01-08,2.333333333333333,1
WN,2017-01-08,1.5,1
WR,2017-01-08,1.6666666666666667,2
WS,2017-01-08,2.333333333333333,2
WV,2017-01-08,1.6666666666666667,2
YO,2017-01-08,2.0,1
ZE,2017-01-08,,2
AB,2017-01-09,0.0,2
AL,2017-01-09,11.0,2
B,2017-01-09,1.6666666666666667,2
BA,2017-01-09,6.0,1
BB,2017-01-09,1.6666666666666667,2
BD,2017-01-09,2.0,1
BH,2017-01-09,6.0,2
BL,2017-01-09,1.0,1
BN,2017-01-09,1.0,0
BR,2017-01-09,1.5,2
BS,2017-01-09,6.0,1
BT,2017-01-09,2.0,0
CA,2017-01-09,3.0,2
CB,2017-01-09,1.0,2
CF,2017-01-09,5.0,0
CH,2017-01-09,3.5,1
CM,2017-01-09,1.0,1
CO,2017-01-09,1.0,2
CR,2017-01-09,1.6,2
CT,2017-01-09,1.0,1
CV,2017-01-09,1.6666666666666667,2
CW,2017-01-09,4.428571428571429,2
DA,2017-01-09,1.0,1
DD,2017-01-09,1.0,2
DE,2017-01-09,1.6666666666666667,1
DG,2017-01-09,1.0,2
DH,2017-01-09,4.0,1
DL,2017-01-09,4.0,1
DN,2017-01-09,2.25,1
DT,2017-01-09,6.0,1
DY,2017-01-09,8.0,2
E,2017-01-09,5.0,2
EC,2017-01-09,3.0,1
EH,2017-01-09,2.0,0
EN,2017-01-09,11.0,1
EX,2017-01-09,6.0,1
FK,2017-01-09,0.0,0
FY,2017-01-09,2.0,2
G,2017-01-09,0.0,1
GL,2017-01-09,5.5,2
GU,2017-01-09,1.0,1
GY,2017-01-09,,2
HA,2017-01-09,6.5,1
HD,2017-01-09,2.0,1
HG,2017-01-09,2.0,1
HP,2017-01-09,11.0,2
HR,2017-01-09,7.25,2
HS,2017-01-09,,2
HU,2017-01-09,4.0,0
HX,2017-01-09,1.75,2
IG,2017-01-09,1.0,1
IM,2017-01-09,,2
IP,2017-01-09,1.0,2
IV,2017-01-09,0.0,2
JE,2017-01-09,,2
KA,2017-01-09,1.0,2
KT,2017-01-09,2.0,2
KW,2017-01-09,0.0,3
KY,2017-01-09,1.0,1
L,2017-01-09,2.0,0
LA,2017-01-09,2.6666666666666665,2
LD,2017-01-09,8.0,1
LE,2017-01-09,1.0,1
LL,2017-01-09,5.0,0
LN,2017-01-09,1.0,1
LS,2017-01-09,2.0,0
LU,2017-01-09,4.333333333333333,3
M,2017-01-09,1.0,0
ME,2017-01-09,1.0,0
MK,2017-01-09,1.0,2
ML,2017-01-09,1.0,1
N,2017-01-09,7.0,1
NE,2017-01-09,3.0,2
NG,2017-01-09,1.0,0
NN,2017-01-09,1.0,2
NP,2017-01-09,5.0,1
NR,2017-01-09,1.0,2
NW,2017-01-09,11.0,0
OL,2017-01-09,1.0,1
OX,2017-01-09,4.0,3
PA,2017-01-09,0.0,1
PE,2017-01-09,1.0,1
PH,2017-01-09,0.0,1
PL,2017-01-09,6.0,2
PO,2017-01-09,1.0,1
PR,2017-01-09,2.0,1
RG,2017-01-09,1.0,2
RH,2017-01-09,1.0,1
RM,2017-01-09,1.0,0
S,2017-01-09,2.0,0
SA,2017-01-09,9.5,0
SE,2017-01-09,2.0,1
SG,2017-01-09,4.333333333333333,2
SK,2017-01-09,1.6666666666666667,1
SL,2017-01-09,4.666666666666667,2
SM,2017-01-09,2.5,2
SN,2017-01-09,6.0,2
SO,2017-01-09,1.0,2
SP,2017-01-09,6.0,2
SR,2017-01-09,4.0,1
SS,2017-01-09,1.0,1
ST,2017-01-09,1.5,2
SW,2017-01-09,2.5,1
SY,2017-01-09,8.0,1
TA,2017-01-09,6.0,0
TD,2017-01-09,2.0,1
TF,2017-01-09,8.0,2
TN,2017-01-09,1.0,1
TQ,2017-01-09,6.0,2
TR,2017-01-09,6.0,3
TS,2017-01-09,4.0,0
TW,2017-01-09,2.0,1
UB,2017-01-09,2.0,1
W,2017-01-09,2.0,0
WA,2017-01-09,1.5,1
WC,2017-01-09,3.0,0
WD,2017-01-09,11.0,1
WF,2017-01-09,2.0,1
WN,2017-01-09,1.5,1
WR,2017-01-09,8.0,2
WS,2017-01-09,1.6666666666666667,2
WV,2017-01-09,8.0,2
YO,2017-01-09,3.333333333333333,1
ZE,2017-01-09,,2
AB,2017-01-10,0.0,2
AL,2017-01-10,11.0,2
B,2017-01-10,1.6666666666666667,2
BA,2017-01-10,4.0,1
BB,2017-01-10,1.6666666666666667,2
BD,2017-01-10,2.0,1
BH,2017-01-10,1.0,1
BL,2017-01-10,2.0,1
BN,2017-01-10,0.0,0
BR,2017-01-10,1.25,2
BS,2017-01-10,4.0,1
BT,2017-01-10,1.6666666666666667,0
CA,2017-01-10,1.5,2
CB,2017-01-10,1.5,2
CF,2017-01-10,3.0,0
CH,2017-01-10,2.0,1
CM,2017-01-10,1.0,1
CO,2017-01-10,1.0,2
CR,2017-01-10,1.4,2
CT,2017-01-10,1.0,1
CV,2017-01-10,1.6666666666666667,2
CW,2017-01-10,1.5714285714285714,2
DA,2017-01-10,1.0,1
DD,2017-01-10,0.5,2
DE,2017-01-10,1.6666666666666667,1
DG,2017-01-10,0.5,2
DH,2017-01-10,2.0,1
DL,2017-01-10,2.0,1
DN,2017-01-10,1.75,1
DT,2017-01-10,4.0,1
DY,2017-01-10,1.6666666666666667,2
E,2017-01-10,5.0,2
EC,2017-01-10,3.0,1
EH,2017-01-10,1.0,0
EN,2017-01-10,11.0,1
EX,2017-01-10,4.0,1
FK,2017-01-10,0.0,0
FY,2017-01-10,1.0,2
G,2017-01-10,0.0,1
GL,2017-01-10,3.5,2
GU,2017-01-10,0.5,1
GY,2017-01-10,,2
HA,2017-01-10,6.5,1
HD,2017-01-10,1.5,1
HG,2017-01-10,2.0,1
HP,2017-01-10,6.0,2
HR,2017-01-10,2.0,2
HS,2017-01-10,,2
HU,2017-01-10,2.0,0
HX,2017-01-10,1.75,2
IG,2017-01-10,1.0,1
IM,2017-01-10,,2
IP,2017-01-10,2.0,2
IV,2017-01-10,0.0,2
JE,2017-01-10,,2
KA,2017-01-10,0.5,2
KT,2017-01-10,1.5,2
KW,2017-01-10,0.0,3
KY,2017-01-10,0.5,1
L,2017-01-10,1.0,0
LA,2017-01-10,1.6666666666666667,2
LD,2017-01-10,1.6666666666666667,1
LE,2017-01-10,2.0,1
LL,2017-01-10,3.0,0
LN,2017-01-10,2.0,1
LS,2017-01-10,2.0,0
LU,2017-01-10,3.75,3
M,2017-01-10,2.0,0
ME,2017-01-10,1.0,0
MK,2017-01-10,2.0,2
ML,2017-01-10,0.5,1
N,2017-01-10,7.0,1
NE,2017-01-10,1.5,2
NG,2017-01-10,2.0,0
NN,2017-01-10,2.0,2
NP,2017-01-10,3.0,1
NR,2017-01-10,2.0,2
NW,2017-01-10,11.0,0
OL,2017-01-10,2.0,1
OX,2017-01-10,1.0,2
PA,2017-01-10,0.0,1
PE,2017-01-10,2.0,1
PH,2017-01-10,0.0,1
PL,2017-01-10,4.0,2
PO,2017-01-10,0.5,1
PR,2017-01-10,1.0,1
RG,2017-01-10,1.0,1
RH,2017-01-10,0.0,1
RM,2017-01-10,1.0,0
S,2017-01-10,1.5,0
SA,2017-01-10,1.0,0
SE,2017-01-10,2.0,1
SG,2017-01-10,4.666666666666667,2
SK,2017-01-10,1.6666666666666667,1
SL,2017-01-10,3.5,2
SM,2017-01-10,2.5,2
SN,2017-01-10,2.5,2
SO,2017-01-10,1.0,0
SP,2017-01-10,1.0,1
SR,2017-01-10,2.0,1
SS,2017-01-10,1.0,1
ST,2017-01-10,1.75,2
SW,2017-01-10,2.5,1
SY,2017-01-10,1.6666666666666667,1
TA,2017-01-10,4.0,0
TD,2017-01-10,1.0,1
TF,2017-01-10,1.6666666666666667,2
TN,2017-01-10,0.5,1
TQ,2017-01-10,4.0,2
TR,2017-01-10,4.0,3
TS,2017-01-10,2.0,0
TW,2017-01-10,2.0,1
UB,2017-01-10,2.0,1
W,2017-01-10,2.0,0
WA,2017-01-10,1.5,1
WC,2017-01-10,3.0,0
WD,2017-01-10,11.0,1
WF,2017-01-10,1.6666666666666667,1
WN,2017-01-10,1.5,1
WR,2017-01-10,1.6666666666666667,2
WS,2017-01-10,1.6666666666666667,2
WV,2017-01-10,1.6666666666666667,2
YO,2017-01-10,2.0,1
ZE,2017-01-10,,2
AB,2017-01-11,0.0,2
AL,2017-01-11,8.0,2
B,2017-01-11,2.0,2
BA,2017-01-11,3.0,1
BB,2017-01-11,1.6666666666666667,2
BD,2017-01-11,2.0,1
BH,2017-01-11,1.0,1
BL,2017-01-11,2.0,1
BN,2017-01-11,0.0,0
BR,2017-01-11,1.0,2
BS,2017-01-11,3.0,1
BT,2017-01-11,1.6666666666666667,0
CA,2017-01-11,2.5,2
CB,2017-01-11,2.0,2
CF,2017-01-11,3.0,0
CH,2017-01-11,2.0,1
CM,2017-01-11,1.0,1
CO,2017-01-11,1.0,2
CR,2017-01-11,1.2,2
CT,2017-01-11,1.0,1
CV,2017-01-11,2.0,2
CW,2017-01-11,1.4285714285714286,2
DA,2017-01-11,1.0,1
DD,2017-01-11,1.0,2
DE,2017-01-11,2.0,1
DG,2017-01-11,1.0,2
DH,2017-01-11,3.0,1
DL,2017-01-11,3.0,1
DN,2017-01-11,2.0,1
DT,2017-01-11,3.0,1
DY,2017-01-11,1.3333333333333333,2
E,2017-01-11,3.6666666666666665,2
EC,2017-01-11,2.0,1
EH,2017-01-11,2.0,0
EN,2017-01-11,8.0,1
EX,2017-01-11,3.0,1
FK,2017-01-11,0.0,0
FY,2017-01-11,1.0,2
G,2017-01-11,0.0,1
GL,2017-01-11,3.0,2
GU,2017-01-11,0.5,1
GY,2017-01-11,,2
HA,2017-01-11,5.0,1
HD,2017-01-11,1.5,1
HG,2017-01-11,2.0,1
HP,2017-01-11,4.5,2
HR,2017-01-11,1.75,2
HS,2017-01-11,,2
HU,2017-01-11,2.0,0
HX,2017-01-11,1.75,2
IG,2017-01-11,1.0,1
IM,2017-01-11,,2
IP,2017-01-11,3.0,2
IV,2017-01-11,0.0,2
JE,2017-01-11,,2
KA,2017-01-11,1.0,2
KT,2017-01-11,1.25,2
KW,2017-01-11,0.0,3
KY,2017-01-11,1.0,1
L,2017-01-11,1.0,0
LA,2017-01-11,2.0,2
LD,2017-01-11,1.3333333333333333,1
LE,2017-01-11,3.0,1
LL,2017-01-11,3.0,0
LN,2017-01-11,3.0,1
LS,2017-01-11,2.0,0
LU,2017-01-11,3.25,3
M,2017-01-11,2.0,0
ME,2017-01-11,1.0,0
MK,2017-01-11,3.0,2
ML,2017-01-11,1.0,1
N,2017-01-11,5.0,1
NE,2017-01-11,2.5,2
NG,2017-01-11,3.0,0
NN,2017-01-11,3.0,2
NP,2017-01-11,3.0,1
NR,2017-01-11,3.0,2
NW,2017-01-11,8.0,0
OL,2017-01-11,2.0,1
OX,2017-01-11,1.0,2
PA,2017-01-11,0.0,1
PE,2017-01-11,3.0,1
PH,2017-01-11,0.0,1
PL,2017-01-11,3.0,2
PO,2017-01-11,0.5,1
PR,2017-01-11,1.0,1
RG,2017-01-11,1.0,1
RH,2017-01-11,0.0,1
RM,2017-01-11,1.0,0
S,2017-01-11,1.5,0
SA,2017-01-11,0.5,0
SE,2017-01-11,1.5,1
SG,2017-01-11,4.0,2
SK,2017-01-11,1.6666666666666667,1
SL,2017-01-11,2.75,2
SM,2017-01-11,2.0,2
SN,2017-01-11,2.0,2
SO,2017-01-11,1.0,0
SP,2017-01-11,1.0,1
SR,2017-01-11,3.0,1
SS,2017-01-11,1.0,1
ST,2017-01-11,2.0,2
SW,2017-01-11,2.0,1
SY,2017-01-11,1.3333333333333333,1
TA,2017-01-11,3.0,0
TD,2017-01-11,2.0,1
TF,2017-01-11,1.3333333333333333,2
TN,2017-01-11,0.5,1
TQ,2017-01-11,3.0,2
TR,2017-01-11,3.0,3
TS,2017-01-11,3.0,0
TW,2017-01-11,2.0,1
UB,2017-01-11,2.0,1
W,2017-01-11,2.0,0
WA,2017-01-11,1.5,1
WC,2017-01-11,2.0,0
WD,2017-01-11,8.0,1
WF,2017-01-11,1.6666666666666667,1
WN,2017-01-11,1.5,1
WR,2017-01-11,1.3333333333333333,2
WS,2017-01-11,2.0,2
WV,2017-01-11,1.3333333333333333,2
YO,2017-01-11,2.333333333333333,1
ZE,2017-01-11,,2
AB,2017-01-12,0.0,2
AL,2017-01-12,14.0,2
B,2017-01-12,2.333333333333333,2
BA,2017-01-12,5.0,1
BB,2017-01-12,1.6666666666666667,2
BD,2017-01-12,1.0,1
BH,2017-01-12,5.0,2
BL,2017-01-12,2.0,1
BN,2017-01-12,1.0,0
BR,2017-01-12,2.0,2
BS,2017-01-12,5.0,1
BT,2017-01-12,4.333333333333333,0
CA,2017-01-12,2.5,2
CB,2017-01-12,2.0,2
CF,2017-01-12,3.0,0
CH,2017-01-12,3.5,1
CM,2017-01-12,1.0,1
CO,2017-01-12,1.0,2
CR,2017-01-12,2.2,2
CT,2017-01-12,2.0,1
CV,2017-01-12,2.333333333333333,2
CW,2017-01-12,2.142857142857143,2
DA,2017-01-12,1.5,1
DD,2017-01-12,1.0,2
DE,2017-01-12,2.333333333333333,1
DG,2017-01-12,1.0,2
DH,2017-01-12,3.0,1
DL,2017-01-12,3.0,1
DN,2017-01-12,2.75,1
DT,2017-01-12,5.0,1
DY,2017-01-12,2.333333333333333,2
E,2017-01-12,6.333333333333332,2
EC,2017-01-12,4.0,1
EH,2017-01-12,2.0,0
EN,2017-01-12,14.0,1
EX,2017-01-12,5.0,1
FK,2017-01-12,0.0,0
FY,2017-01-12,2.0,2
G,2017-01-12,0.0,1
GL,2017-01-12,4.0,2
GU,2017-01-12,1.0,1
GY,2017-01-12,,2
HA,2017-01-12,8.5,1
HD,2017-01-12,2.0,1
HG,2017-01-12,1.0,1
HP,2017-01-12,14.0,2
HR,2017-01-12,2.5,2
HS,2017-01-12,,2
HU,2017-01-12,4.0,0
HX,2017-01-12,1.75,2
IG,2017-01-12,1.0,1
IM,2017-01-12,,2
IP,2017-01-12,3.0,2
IV,2017-01-12,0.0,2
JE,2017-01-12,,2
KA,2017-01-12,1.0,2
KT,2017-01-12,2.6666666666666665,2
KW,2017-01-12,0.0,3
KY,2017-01-12,1.0,1
L,2017-01-12,2.0,0
LA,2017-01-12,2.0,2
LD,2017-01-12,1.6666666666666667,1
LE,2017-01-12,3.0,1
LL,2017-01-12,5.0,0
LN,2017-01-12,3.0,1
LS,2017-01-12,1.0,0
LU,2017-01-12,6.0,3
M,2017-01-12,2.0,0
ME,2017-01-12,2.0,0
MK,2017-01-12,3.0,2
ML,2017-01-12,1.0,1
N,2017-01-12,9.0,1
NE,2017-01-12,2.5,2
NG,2017-01-12,3.0,0
NN,2017-01-12,3.0,2
NP,2017-01-12,3.0,1
NR,2017-01-12,3.0,2
NW,2017-01-12,14.0,0
OL,2017-01-12,2.0,1
OX,2017-01-12,4.285714285714286,3
PA,2017-01-12,0.0,1
PE,2017-01-12,3.0,1
PH,2017-01-12,0.0,1
PL,2017-01-12,5.0,2
PO,2017-01-12,1.0,1
PR,2017-01-12,2.0,1
RG,2017-01-12,1.0,2
RH,2017-01-12,1.0,1
RM,2017-01-12,1.0,0
S,2017-01-12,2.0,0
SA,2017-01-12,1.0,0
SE,2017-01-12,2.5,1
SG,2017-01-12,6.0,2
SK,2017-01-12,2.0,1
SL,2017-01-12,6.0,2
SM,2017-01-12,3.5,2
SN,2017-01-12,5.0,2
SO,2017-01-12,1.0,2
SP,2017-01-12,5.0,2
SR,2017-01-12,3.0,1
SS,2017-01-12,1.5,1
ST,2017-01-12,2.25,2
SW,2017-01-12,3.5,1
SY,2017-01-12,2.333333333333333,1
TA,2017-01-12,5.0,0
TD,2017-01-12,2.0,1
TF,2017-01-12,2.333333333333333,2
TN,2017-01-12,1.5,1
TQ,2017-01-12,5.0,2
TR,2017-01-12,5.0,3
TS,2017-01-12,3.0,0
TW,2017-01-12,3.0,1
UB,2017-01-12,3.0,1
W,2017-01-12,3.0,0
WA,2017-01-12,2.0,1
WC,2017-01-12,4.0,0
WD,2017-01-12,14.0,1
WF,2017-01-12,1.6666666666666667,1
WN,2017-01-12,2.0,1
WR,2017-01-12,2.333333333333333,2
WS,2017-01-12,2.333333333333333,2
WV,2017-01-12,2.333333333333333,2
YO,2017-01-12,2.6666666666666665,1
ZE,2017-01-12,,2
AB,2017-01-13,0.0,2
AL,2017-01-13,16.0,2
B,2017-01-13,1.6666666666666667,2
BA,2017-01-13,7.0,1
BB,2017-01-13,1.3333333333333333,2
BD,2017-01-13,1.0,1
BH,2017-01-13,1.0,1
BL,2017-01-13,2.0,1
BN,2017-01-13,1.0,0
BR,2017-01-13,1.5,2
BS,2017-01-13,7.0,1
BT,2017-01-13,1.6666666666666667,0
CA,2017-01-13,2.5,2
CB,2017-01-13,1.5,2
CF,2017-01-13,2.0,0
CH,2017-01-13,2.0,1
CM,2017-01-13,1.0,1
CO,2017-01-13,1.0,2
CR,2017-01-13,1.6,2
CT,2017-01-13,1.0,1
CV,2017-01-13,1.6666666666666667,2
CW,2017-01-13,1.5714285714285714,2
DA,2017-01-13,1.0,1
DD,2017-01-13,1.0,2
DE,2017-01-13,1.6666666666666667,1
DG,2017-01-13,1.0,2
DH,2017-01-13,3.0,1
DL,2017-01-13,3.0,1
DN,2017-01-13,1.75,1
DT,2017-01-13,7.0,1
DY,2017-01-13,1.6666666666666667,2
E,2017-01-13,6.666666666666668,2
EC,2017-01-13,3.0,1
EH,2017-01-13,2.0,0
EN,2017-01-13,16.0,1
EX,2017-01-13,7.0,1
FK,2017-01-13,0.0,0
FY,2017-01-13,1.0,2
G,2017-01-13,0.0,1
GL,2017-01-13,4.5,2
GU,2017-01-13,1.0,1
GY,2017-01-13,,2
HA,2017-01-13,9.0,1
HD,2017-01-13,1.5,1
HG,2017-01-13,1.0,1
HP,2017-01-13,8.5,2
HR,2017-01-13,1.75,2
HS,2017-01-13,,2
HU,2017-01-13,2.0,0
HX,2017-01-13,1.5,2
IG,2017-01-13,1.0,1
IM,2017-01-13,,2
IP,2017-01-13,2.0,2
IV,2017-01-13,0.0,2
JE,2017-01-13,,2
KA,2017-01-13,1.0,2
KT,2017-01-13,1.75,2
KW,2017-01-13,0.0,3
KY,2017-01-13,1.0,1
L,2017-01-13,1.0,0
LA,2017-01-13,1.6666666666666667,2
LD,2017-01-13,1.3333333333333333,1
LE,2017-01-13,2.0,1
LL,2017-01-13,3.0,0
LN,2017-01-13,2.0,1
LS,2017-01-13,1.0,0
LU,2017-01-13,5.0,3
M,2017-01-13,2.0,0
ME,2017-01-13,1.0,0
MK,2017-01-13,2.0,2
ML,2017-01-13,1.0,1
N,2017-01-13,9.5,1
NE,2017-01-13,2.5,2
NG,2017-01-13,2.0,0
NN,2017-01-13,2.0,2
NP,2017-01-13,2.0,1
NR,2017-01-13,2.0,2
NW,2017-01-13,16.0,0
OL,2017-01-13,2.0,1
OX,2017-01-13,1.0,2
PA,2017-01-13,0.0,1
PE,2017-01-13,2.0,1
PH,2017-01-13,0.0,1
PL,2017-01-13,7.0,2
PO,2017-01-13,1.0,1
PR,2017-01-13,1.0,1
RG,2017-01-13,1.0,1
RH,2017-01-13,1.0,1
RM,2017-01-13,1.0,0
S,2017-01-13,1.5,0
SA,2017-01-13,1.0,0
SE,2017-01-13,2.0,1
SG,2017-01-13,6.333333333333332,2
SK,2017-01-13,1.6666666666666667,1
SL,2017-01-13,5.0,2
SM,2017-01-13,2.5,2
SN,2017-01-13,4.0,2
SO,2017-01-13,1.0,0
SP,2017-01-13,1.0,1
SR,2017-01-13,3.0,1
SS,2017-01-13,1.0,1
ST,2017-01-13,1.75,2
SW,2017-01-13,2.5,1
SY,2017-01-13,1.6666666666666667,1
TA,2017-01-13,7.0,0
TD,2017-01-13,2.0,1
TF,2017-01-13,1.6666666666666667,2
TN,2017-01-13,1.0,1
TQ,2017-01-13,7.0,2
TR,2017-01-13,7.0,3
TS,2017-01-13,3.0,0
TW,2017-01-13,2.0,1
UB,2017-01-13,2.0,1
W,2017-01-13,2.0,0
WA,2017-01-13,1.5,1
WC,2017-01-13,3.0,0
WD,2017-01-13,16.0,1
WF,2017-01-13,1.3333333333333333,1
WN,2017-01-13,1.5,1
WR,2017-01-13,1.6666666666666667,2
WS,2017-01-13,1.6666666666666667,2
WV,2017-01-13,1.6666666666666667,2
YO,2017-01-13,2.0,1
ZE,2017-01-13,,2
AB,2017-01-14,1.0,2
AL,2017-01-14,9.0,2
B,2017-01-14,2.333333333333333,2
BA,2017-01-14,10.0,1
BB,2017-01-14,1.3333333333333333,2
BD,2017-01-14,1.0,1
BH,2017-01-14,1.0,1
BL,2017-01-14,1.0,1
BN,2017-01-14,0.0,0
BR,2017-01-14,0.75,2
BS,2017-01-14,10.0,1
BT,2017-01-14,2.0,0
CA,2017-01-14,3.0,2
CB,2017-01-14,2.5,2
CF,2017-01-14,2.0,0
CH,2017-01-14,2.5,1
CM,2017-01-14,1.0,1
CO,2017-01-14,1.0,2
CR,2017-01-14,1.0,2
CT,2017-01-14,1.0,1
CV,2017-01-14,2.333333333333333,2
CW,2017-01-14,1.5714285714285714,2
DA,2017-01-14,1.0,1
DD,2017-01-14,2.0,2
DE,2017-01-14,2.333333333333333,1
DG,2017-01-14,2.0,2
DH,2017-01-14,3.0,1
DL,2017-01-14,3.0,1
DN,2017-01-14,1.0,0
DT,2017-01-14,10.0,1
DY,2017-01-14,1.6666666666666667,2
E,2017-01-14,3.6666666666666665,2
EC,2017-01-14,1.0,1
EH,2017-01-14,3.0,0
EN,2017-01-14,9.0,1
EX,2017-01-14,10.0,1
FK,2017-01-14,1.0,0
FY,2017-01-14,2.0,2
G,2017-01-14,1.0,1
GL,2017-01-14,6.0,2
GU,2017-01-14,0.5,1
GY,2017-01-14,,2
HA,2017-01-14,5.5,1
HD,2017-01-14,1.5,1
HG,2017-01-14,1.0,1
HP,2017-01-14,5.0,2
HR,2017-01-14,1.75,2
HS,2017-01-14,,2
HU,2017-01-14,2.0,0
HX,2017-01-14,1.25,2
IG,2017-01-14,1.0,1
IM,2017-01-14,,2
IP,2017-01-14,4.0,2
IV,2017-01-14,1.0,2
JE,2017-01-14,,2
KA,2017-01-14,2.0,2
KT,2017-01-14,1.0,2
KW,2017-01-14,1.0,3
KY,2017-01-14,2.0,1
L,2017-01-14,2.0,0
LA,2017-01-14,2.0,2
LD,2017-01-14,1.3333333333333333,1
LE,2017-01-14,4.0,1
LL,2017-01-14,3.0,0
LN,2017-01-14,2.5,1
LS,2017-01-14,1.0,0
LU,2017-01-14,3.75,3
M,2017-01-14,1.0,0
ME,2017-01-14,1.0,0
MK,2017-01-14,4.0,2
ML,2017-01-14,2.0,1
N,2017-01-14,5.0,1
NE,2017-01-14,3.0,2
NG,2017-01-14,4.0,0
NN,2017-01-14,4.0,2
NP,2017-01-14,2.0,1
NR,2017-01-14,4.0,2
NW,2017-01-14,9.0,0
OL,2017-01-14,1.0,1
OX,2017-01-14,1.0,2
